Features,CTZ_Importance
bla_1,12.605597496032717
Cutoff_76,3.192948818206787
yokD,2.9839000701904297
group_774,2.178586006164551
group_9143,1.5559625625610352
ompX_2,1.5173158645629885
group_4225,1.4837217330932615
Cutoff_186,1.4505751132965088
Cutoff_45,1.3184504508972168
algC_1,1.3041505813598633
group_3923,1.2963998317718506
group_3866,1.2399063110351562
group_11779,1.2134532928466797
group_2299,1.1739351749420166
group_6873,1.144002914428711
group_2636,1.1236145496368408
folP_2,1.1134817600250244
group_3997,1.082580804824829
group_2082,1.0452404022216797
repE,1.033151388168335
group_364,0.9368810057640076
Cutoff_30,0.9138343930244446
Cutoff_1,0.8952996134757996
group_3978,0.8867802023887634
group_8377,0.8809385299682617
group_1043,0.8402027487754822
group_8183,0.8303728103637695
Cutoff_20,0.81739342212677
Cutoff_8,0.7944535613059998
group_932,0.736984372138977
group_20726,0.7191658020019531
Cutoff_22,0.6848443746566772
frmA_2,0.66949462890625
group_11520,0.6558189392089844
group_266,0.6478195190429688
group_8100,0.6435089111328125
group_10020,0.6369650363922119
group_15460,0.6187477111816406
fepA,0.6119537353515625
group_18807,0.5883026123046875
group_7,0.5027618408203125
group_3599,0.4983526766300201
group_378,0.4883460998535156
group_3858,0.4361251294612884
group_8123,0.4081066250801086
group_1901,0.38946533203125
Cutoff_27,0.3889435529708862
group_17406,0.3839855194091797
group_7812,0.3727360963821411
group_9590,0.3651580810546875
ypdF,0.3612518310546875
group_4833,0.3557918667793274
group_6972,0.3538779616355896
group_3947,0.3404589295387268
mlc_2,0.3372650146484375
group_14985,0.3366501033306122
group_827,0.304703414440155
group_6554,0.2807053923606872
group_66,0.2764559984207153
bla,0.2702777981758117
hisJ,0.2694889903068542
group_269,0.22977009415626523
group_2341,0.21664538979530332
group_5023,0.19833144545555112
Cutoff_32,0.19791188836097715
group_4782,0.1674347072839737
Cutoff_917,0.1527848243713379
crfC_2,0.14976850152015683
ttgC,0.143500879406929
Cutoff_7,0.1395331621170044
RBKS,0.1167161613702774
group_7992,0.1037461757659912
group_2686,0.1019073650240898
group_3926,0.0998845100402832
traD,0.07853345572948454
Cutoff_25,0.07672032713890074
nanK_2,0.07199859619140624
group_4881,0.06525411456823345
chuR_2,0.036832358688116025
group_2488,0.036114402115345
group_2677,0.03337564319372172
group_3182,0.03202873095870011
group_1916,0.028144432231783804
group_15459,0.027391143143177015
group_953,0.0227823443710804
bshB1,0.021587688475847217
