Features,CIP_Importance
yokD,9.21302318572998
aacA4,5.878204345703125
group_8096,2.672649383544922
group_3392,2.068362236022949
group_11714,1.4355292320251465
group_11494,1.007651448249817
group_8183,0.9622785449028016
group_11469,0.9289660453796388
Cutoff_28,0.7503132224082947
group_6155,0.6507227420806885
group_9399,0.6116571426391602
Cutoff_62,0.5295667052268982
xerC_6,0.3895961344242096
group_6938,0.3329778015613556
caiB,0.302272081375122
group_2212,0.2758696973323822
group_7955,0.1993253082036972
group_2959,0.1822061538696289
group_3495,0.1643111854791641
Cutoff_1,0.15834461152553556
group_2413,0.1520755887031555
group_2971,0.12611499428749082
group_7044,0.10914617776870726
Cutoff_30,0.09319610148668285
group_7994,0.08455721288919445
bshB1,0.04634202271699903
acuR,0.042579930275678614
group_1860,0.04088973999023433
group_4201,0.03692416846752162
ynbC,0.02214441448450079
flmC,0.011291096918284792
