Features,CTZ_Importance
group_12997,10.294921875
group_23668,8.653563499450684
group_35448,7.838272094726562
group_32948,5.395059585571289
group_1778,4.263543128967285
group_24094,3.992670774459839
pcoA,3.984295129776001
group_16384,3.967823028564453
group_24333,3.9169394969940186
group_29497,3.848416328430176
group_13591,3.5267910957336426
group_19037,3.4618072509765625
group_8591,3.358373641967773
oprD,3.288532018661499
mucA,3.243159294128418
group_10918,3.154823064804077
group_24310,3.079822540283203
group_1379,2.89901065826416
group_8657,2.7532267570495605
group_31172,2.734316825866699
group_1154,2.671753168106079
group_17728,2.658897876739502
group_2276,2.6321232318878174
group_12741,2.466808557510376
group_5809,2.3890914916992188
group_28493,2.3048036098480225
crc,2.1666667461395264
group_35715,2.147268295288086
group_20085,2.1339573860168457
group_4313,2.0335092544555664
group_11731,2.006138801574707
Cutoff_510,1.9903545379638672
group_29962,1.961345195770264
group_24466,1.938037872314453
group_7255,1.8722188472747805
group_29250,1.843894124031067
group_4567,1.7804813385009766
group_29902,1.7804088592529297
folP_2,1.6982455253601074
Cutoff_10,1.644590139389038
group_5573,1.6221327781677246
group_24796,1.586033821105957
group_24478,1.5766735076904297
glcD_3,1.5347870588302612
group_3314,1.4154205322265625
Cutoff_4,1.391584038734436
group_8436,1.3449444770812988
group_35853,1.3389065265655518
group_9375,1.336721420288086
group_24441,1.3163464069366455
group_10785,1.3123337030410769
group_15770,1.2847323417663574
group_20197,1.2622615098953247
group_3566,1.2590216398239136
group_23841,1.220099925994873
group_10257,1.2121095657348633
group_14074,1.1758735179901123
group_26092,1.1608619689941406
pscP,1.1392208337783811
group_30935,1.126734733581543
group_8425,1.1039962768554688
group_18526,1.0813796520233154
group_22838,1.075109601020813
group_23626,1.0338220596313477
group_6003,1.0252130031585691
Cutoff_35,1.001260757446289
group_27832,0.9762253761291504
group_35285,0.9693152904510498
group_7606,0.9651002287864684
group_34657,0.9439789056777954
group_5491,0.9381017684936525
pilQ2,0.9206851720809937
group_20843,0.8900178670883179
group_29728,0.8864983320236206
group_18028,0.8841517567634583
group_29320,0.8405517935752869
group_14982,0.8378047943115234
group_19795,0.816641092300415
group_4248,0.8062397837638855
group_32237,0.7705717086791992
group_35198,0.7686452865600586
group_915,0.7627485990524292
napF,0.7562599182128906
group_20451,0.7316313982009888
dadX,0.7315203547477722
group_33539,0.7206497192382812
vgrG1a_1,0.7205542922019958
Cutoff_2,0.7112661004066467
lpxD_2,0.6900277137756348
group_11347,0.6841249465942383
group_9933,0.6739509105682373
group_17131,0.6618286371231079
group_1637,0.6558366417884827
group_18509,0.6451947689056396
group_32450,0.6409603953361511
group_25302,0.6216427683830261
group_11895,0.6136881709098816
group_18561,0.6104364395141602
group_14281,0.6094887256622314
group_35092,0.6064642667770386
group_8606,0.6028666496276855
group_1668,0.5924732089042664
group_6207,0.5908797383308411
group_12448,0.5802911520004272
group_9124,0.5786176323890686
pctC,0.5706441402435303
group_27927,0.5693499445915222
group_2123,0.5666643381118774
group_19385,0.5609930753707886
group_19768,0.5521044731140137
cupB6,0.5503186583518982
group_12921,0.5485879182815552
gtdA,0.5382662415504456
group_17914,0.5245327353477478
group_9030,0.523246705532074
hspA,0.519963264465332
group_34271,0.5054311752319336
group_19395,0.4977416694164276
group_30842,0.4915262460708618
vgrG1a,0.4885184168815613
group_7291,0.4823858141899109
group_31170,0.4781084358692169
pvcD,0.4771261215209961
group_9119,0.4698920249938965
group_29599,0.459076315164566
group_35127,0.4589416682720184
group_17659,0.4342603683471679
Cutoff_36,0.4239411056041717
group_17529,0.4197209179401397
group_18949,0.4126030206680298
orfH,0.408681571483612
cupA4,0.3947333991527557
group_23757,0.389617383480072
group_29560,0.3733986616134643
group_30936,0.3615036308765411
elaA,0.3574246764183044
group_3461,0.3527441322803497
group_11733,0.3521735072135925
group_30299,0.3511788845062256
merR_1,0.3448174595832824
group_24818,0.3433450162410736
group_15589,0.3422510623931885
group_17135,0.3416085839271545
group_12583,0.3410126864910126
group_23516,0.3344150483608246
group_6718,0.3271562457084656
group_22402,0.3092610836029053
group_3752,0.3083918988704681
group_22955,0.3024839460849762
group_34164,0.2980326414108276
group_16730,0.2936343550682068
group_34222,0.2906585335731506
group_28409,0.28821462392807
group_19208,0.284661054611206
group_13135,0.2844638228416443
tpm,0.2818651795387268
group_13648,0.2807451784610748
group_839,0.2775046825408935
group_26507,0.271392822265625
Cutoff_40,0.2650138139724731
adhC_2,0.2644846439361572
group_21858,0.2597207725048065
group_11876,0.2596628665924072
group_21359,0.2587064504623413
group_28717,0.2578492760658264
hpaC,0.257708877325058
group_15113,0.2570963501930237
group_26107,0.2513662576675415
group_764,0.2513554394245147
hcnC_1,0.24591465294361112
group_25998,0.24493078887462613
group_8789,0.24161863327026364
group_19290,0.2365467548370361
group_28702,0.2348385155200958
group_16335,0.2289804220199585
ves,0.2276452928781509
group_32398,0.2260783016681671
group_31767,0.2214444875717163
group_33887,0.22038033604621884
group_22302,0.2097301334142685
Cutoff_12,0.1999307423830032
pilP2,0.19683147966861722
group_18739,0.1943484395742416
lasR,0.19418637454509732
Cutoff_1,0.1932297945022583
Cutoff_17,0.1891711354255676
hisI,0.18510787189006803
group_26472,0.18348899483680722
group_1193,0.1808563023805618
group_29979,0.18046800792217252
group_25570,0.17554466426372525
Cutoff_42,0.1730905324220657
group_21404,0.1678411364555359
group_9260,0.16269002854824063
group_16685,0.16143134236335752
pilM2,0.158954843878746
group_25976,0.15651312470436093
group_30397,0.15179891884326932
group_24021,0.14644655585289
group_31193,0.14181602001190183
pilC,0.1401180773973465
group_9078,0.1386115103960037
group_4359,0.1353999674320221
group_29480,0.13537727296352384
mexR,0.1336073875427246
yiiM_3,0.1333136260509491
group_15569,0.1324663013219833
Cutoff_13,0.12604588270187375
group_26027,0.115723617374897
group_19775,0.11331605911254881
moeZ,0.1124073565006256
group_32945,0.10983836650848387
group_31906,0.1093253120779991
group_4004,0.10885804891586302
group_29044,0.10299911350011824
group_6330,0.1018134132027626
group_8054,0.09751424193382262
group_19191,0.09676291048526763
Cutoff_3,0.09655336290597914
group_8341,0.0956422910094261
group_26646,0.0949309915304184
group_25784,0.09339436888694762
group_34431,0.09276242554187773
mshA_3,0.09245560318231581
group_31997,0.0878646820783615
group_16130,0.08237071335315703
group_3742,0.07899463176727294
Cutoff_46,0.07751449197530744
group_9808,0.07704150676727294
Cutoff_16,0.07669749110937116
group_17123,0.07651373744010924
phnP,0.07241617888212203
group_17367,0.07116002589464185
group_34723,0.07061953842639922
group_11950,0.06943869590759275
group_29636,0.0693531185388565
group_18897,0.0692831128835678
group_14689,0.06866665184497832
group_10495,0.06760692596435544
Cutoff_23,0.0675784796476364
group_21314,0.0610860176384449
group_19354,0.06086974218487736
group_12308,0.060665499418973916
group_29661,0.059659607708454125
group_5313,0.059406239539384835
group_334,0.05930753424763676
group_8819,0.058696277439594234
group_34851,0.0585743673145771
aph,0.055584646761417354
group_20427,0.0529436431825161
group_31567,0.051732480525970424
group_26529,0.05160122737288474
group_23650,0.05094122886657714
group_24907,0.05058839544653892
group_12021,0.05026275664567944
group_2438,0.0488189086318016
mucD_2,0.047429110854864114
pcrG,0.04697676375508304
group_13766,0.04693115502595901
group_22392,0.04651162773370742
group_6984,0.0462825633585453
group_25221,0.045934714376926415
group_10243,0.04499181360006332
group_34753,0.04276442155241962
pilT2,0.04120505601167673
group_11634,0.04026711732149122
group_32225,0.03899968415498732
group_17488,0.036783233284950236
hxcY,0.0363149419426918
group_26685,0.0355687290430069
algG,0.03513483703136442
group_31001,0.032432265579700414
group_8726,0.0322885625064373
group_32025,0.029703911393880827
group_24867,0.02919675409793852
group_5906,0.027520801872015
Cutoff_18,0.027489542961120602
