Features,TBM_Importance
group_3019,63.028018951416016
group_20995,22.20648765563965
group_1304,10.797794342041016
aaeB_1,8.17236042022705
tonB,8.097902297973633
group_8196,7.7010498046875
fabG_1,7.485382080078125
selB,7.226900100708008
group_1426,6.4930267333984375
group_33027,6.458552360534668
folP_2,6.378915786743164
group_2988,5.908916473388672
aroP1,5.3001556396484375
group_29740,4.611289978027344
group_31272,4.550124168395996
group_11838,4.231687068939209
xerD_2,3.514606237411499
group_24575,3.4811935424804688
glcD_3,3.426621198654175
group_9510,3.3837623596191406
group_19285,3.235809326171875
group_32010,3.2221813201904297
group_1565,3.2151832580566406
group_22833,3.0496809482574463
pimC,2.964921712875366
group_34252,2.916785478591919
group_17600,2.8411452770233154
wbpW_2,2.810397148132324
group_28247,2.711259365081787
group_33415,2.5548973083496094
group_1589,2.4752349853515625
group_35262,2.457406997680664
group_12538,2.4314427375793457
group_14600,2.259826421737671
group_29612,2.0980420112609863
mexA,2.042316436767578
group_11892,2.0069751739501958
group_19395,1.9429564476013184
group_32503,1.9390296936035158
mutL,1.9215164184570312
group_21241,1.8766517639160158
mucA,1.845475673675537
group_34409,1.7155295610427856
Cutoff_16,1.5712850093841553
group_26079,1.342716932296753
group_34005,1.3422285318374634
Cutoff_918,1.327905297279358
group_7034,1.2424687147140503
group_1094,1.2409915924072266
group_872,1.1852431297302246
group_12395,1.1485438346862793
group_24094,1.1233463287353516
group_12050,1.1176376342773438
dnaX,1.0904958248138428
group_30967,1.075535774230957
ccoN-2,0.9514122009277344
group_24400,0.9324522018432616
group_4094,0.8709926605224609
group_24404,0.843836784362793
cdiI_2,0.8350107073783875
group_29163,0.7989141345024109
group_6589,0.7961493134498596
group_30844,0.7517237663269043
pilO2,0.7502032518386841
group_34187,0.7321363687515259
group_23771,0.6305297613143921
group_14892,0.6155359745025635
Cutoff_5,0.6145261526107788
group_4592,0.5191870927810669
glyA1,0.4838621616363525
group_11733,0.4751419126987457
group_26837,0.4730151295661926
group_30597,0.4596795439720154
pilC,0.4370490908622741
group_5153,0.4286196529865265
Cutoff_12,0.4253939390182495
group_31151,0.4242504239082336
group_32025,0.4010837972164154
Cutoff_18,0.3943783044815063
group_839,0.3899096250534057
group_23488,0.3857700824737549
group_1188,0.3777818381786346
group_3648,0.3706932961940765
group_19308,0.3665639460086822
group_22515,0.3665407001972198
group_23666,0.3581958413124084
Cutoff_7,0.3538121879100799
group_15722,0.3355311155319214
group_31257,0.3332952260971069
Cutoff_14,0.3314549922943115
group_16779,0.3260743319988251
group_15900,0.3208117485046386
group_17367,0.3195966184139251
group_13381,0.3179917335510254
group_27491,0.3045893311500549
group_1511,0.3037520945072174
group_32843,0.3010417222976684
group_18606,0.2945511937141418
group_1668,0.2636619210243225
group_16312,0.24149173498153684
group_21626,0.2354569435119629
group_2026,0.22915072739124295
group_26476,0.22271811962127683
group_123,0.22237586975097653
mtlZ,0.2215420752763748
tnpS,0.2190151214599609
group_19178,0.2180385589599609
tpbA,0.21049846708774564
Cutoff_3,0.20947444438934323
group_30935,0.20844218134880063
group_2356,0.2032077759504318
group_28799,0.1994333267211914
pspB,0.19877853989601132
Cutoff_4,0.1924157738685608
group_23221,0.17922568321228025
group_10414,0.1784190833568573
group_15888,0.1766916960477829
group_31216,0.17644596099853513
vgrG4b,0.1674535274505615
group_22493,0.1633895933628082
group_22955,0.16332948207855222
group_14803,0.1625796556472778
group_29601,0.160446435213089
group_9622,0.16017889976501462
group_1193,0.1581977307796478
Cutoff_3332,0.1562942713499069
group_24616,0.15600663423538205
group_14916,0.15190888941287992
Cutoff_6,0.14785096049308774
group_20941,0.1477139592170715
Cutoff_1,0.14523029327392575
group_9279,0.1440770626068115
group_15569,0.1313037872314453
group_27513,0.12139555811882018
group_1943,0.11869072914123534
merA_1,0.1106061115860939
group_10785,0.11056815087795256
group_8054,0.1033666282892227
group_16782,0.09592819213867186
pscP,0.09435276687145232
group_3436,0.09411371499300002
group_3121,0.09142899513244625
group_29169,0.0913712978363037
group_18028,0.08117982745170592
group_13438,0.07943042367696761
group_11518,0.078812375664711
group_4785,0.0761166214942932
lasR,0.0726395845413208
group_21437,0.06971126049757002
group_8606,0.068475142121315
Cutoff_23,0.06837305426597594
group_35884,0.059657473117113106
group_21607,0.058465719223022426
group_29356,0.05816319584846493
group_9632,0.0559125654399395
group_7953,0.05528897047042843
group_7929,0.05430135875940322
nlpD,0.05057194828987121
pdxY,0.04940996319055554
group_22108,0.044236872345209115
tatB,0.04377465695142742
group_28029,0.04266518726944921
group_28815,0.0415109172463417
group_28922,0.04088985919952392
group_7628,0.04020210728049273
group_8147,0.0401303768157959
Cutoff_49,0.03888466209173202
fpvA,0.03862657025456423
pscD,0.03515874966979022
group_4832,0.032695595175027826
group_27832,0.03264544904232023
gloB_1,0.031132007017731615
Cutoff_13,0.006046339869499204
