shared_genes
ppsR
xthA
ydjA
nudL
cmoB
cheB
cheW
uvrC
mtfA
add
rsxD
slyB
gloA
ubiG
nuoG
ampD
dgt
cdaR
hemA
ycgL
cobB
flgB
yceI
yhhW
glpE
glpR
gph
slyD
tusE
rlmI
rmf
pyrD
gloC
serC
hscB
ypeA
hldD
lldD
lldP
rimO
holA
lptE
aphA
actP
djlA
rluA
adk
ribD
msrA
holC
pbpG
ubiJ_1
mtr
rimP
napF
napD
napA
lpxT
pepP
gcvH
rdgC
ung
purL
eptC
recB
cyaA
cyaY
rhtC_2
bioP
metE
tatB
ubiD
cysB
yciI
ygiW
qseC
yrdA_2
rlmJ
rhlB
rep
rnr
miaA
grpE
ypjD
folD
lpxH
purK
hisG
modA
modB
aat
narJ
argC
cspD
clpS
mltD
rsmJ
fumC
argD
blc
arnA
alkA
ptsP
mnmC
ycgJ
ybiI
nrdR
rpsC
rpsI
rpsR
atpC
nusB
atpE
rpmH
rpsU
rplV
lpxA
rplN
rpsS
rpsL
rplR
rplW
hupB
rpmC
rpmE
rpmG
zapA
pyrH
efp
rplE
mtlR
narI
guaB
trpS
ftsE
nuoF
nusA
pheS
infB
ftsX
proB
pdxH
tsf
purC
parC
fabB
dxr
psd
gltA
mepM
ndh
alaS
rpsH
nrdA
atpD
lepA
gltX
pcm
hscA
hflD
zupT
guaA
aspA
rpoB
folE
coaE
ruvC
purE
nuoE
rplB
ppiD
mltG
glgB
putP
mrcB
ispB
potD
narH
rpsK
nuoB
spoT
recC
glmU
eno
topA_1
rpoC
tldD
atpF
ribA
murA
rplT
aceE
tolQ
glgA
rnc
glyA
mdoG
btsT
dnaJ
iscS
ffh
lysC
ribC
yfeX
hisM
rapZ
prmA
kup
tyrS
trkA
rplP
rplS
uvrB
glmM
rimM
glnD
argG
rapA
trmD
hflX
envZ
yejM
rplJ
fabI
hflC_2
dacC
gpsA
nfuA
aroK
purA
lrp
cysS
lptA
speD
tgt
surA
glpK
lolA
gmhA
rpsJ
phoB
ispH
cyoC
rho
fur
aaeB_2
zwf
rpsE
dksA
leuB
plsB
rplF
ribB
lipA
ubiA
ilvE
aroF
rplM
tatC
xerD
nuoN
asd
rplD
hslV
proX
ftsQ
recF
leuA
dnaX
metH
sspA
apaG
mraY
rsfS
ppx
metK
rplC
rplK
rplI
uvrD
dnaE
aspS
dapF
recA
rpsG
ppsA
serA
mreB
ccmC
sodB
nuoJ
ubiE
rnpA
pssA
thyA
thrB
argA
rpoA
lipB
yohK_1
parE
sdaA
fabZ
metN
nuoH
rpsN
rnt
glnK
map
accC
fabG_2
trkH
folB
pgk
infC
dppC
atpA
thrC
atpI
pcnB
fabH
anmK
ftsZ
rplX
gmk
rpiA
rplQ
hslU
ppk
bolA
dnaC
speA
